,City,Country,Latitude,Longitude,Date,Temperature,Min Temp,Max Temp,Humidity,Cloudiness,Wind Speed
128,nizhniy baskunchak,RU,48.22,46.83,1570503809,41.62,41.62,41.62,72,76,8.28
129,hornepayne,CA,49.22,-84.78,1570503810,40.87,40.87,40.87,88,0,7.63
130,ustka,PL,54.58,16.86,1570503568,44.09,44.09,44.09,78,100,13.82
131,muros,ES,42.77,-9.06,1570503812,64.63,62.01,68.0,100,90,5.82
132,tombouctou,ML,16.77,-3.01,1570503814,87.2,87.2,87.2,11,0,12.03
133,sedhiou,SN,12.71,-15.56,1570503815,75.44,75.44,75.44,86,100,1.83
134,shenkursk,RU,62.11,42.91,1570503816,39.7,39.7,39.7,96,100,9.1
135,nsoko,ZA,-27.07,31.93,1570503817,69.22,66.2,73.4,69,68,11.41
136,joshimath,IN,30.57,79.57,1570503819,56.87,56.87,56.87,40,0,1.1
137,isiolo,KE,0.35,37.58,1570503820,68.71,68.71,68.71,65,0,12.91
138,goreloye,RU,52.92,41.5,1570503821,35.3,35.3,35.3,73,100,8.37
139,igrim,RU,63.19,64.42,1570503822,38.92,38.92,38.92,97,100,6.91
140,cruzilia,BR,-21.84,-44.81,1570503823,65.53,65.53,65.53,95,100,2.19
141,siilinjarvi,FI,63.08,27.67,1570503826,32.0,32.0,32.0,95,0,4.7
142,caravelas,BR,-17.73,-39.27,1570503827,73.55,73.55,73.55,89,0,7.72
143,aranos,NA,-24.14,19.11,1570503828,51.49,51.49,51.49,26,5,7.09
144,porto belo,BR,-27.15,-48.54,1570503829,64.18,62.6,66.2,93,40,3.36
145,bud,NO,62.91,6.91,1570503832,39.74,37.0,44.6,74,100,5.82
146,aberfeldy,GB,56.62,-3.87,1570503833,50.4,48.99,51.01,87,40,13.87
147,bongandanga,CD,1.51,21.07,1570503834,70.03,70.03,70.03,96,100,1.97
148,pimentel,BR,-3.7,-45.5,1570503835,76.2,76.2,76.2,82,0,4.18
149,beloha,MG,-25.17,45.06,1570503837,70.37,70.37,70.37,57,0,7.67
150,praia,BR,-20.25,-43.81,1570503838,73.4,73.4,73.4,53,0,9.17
151,opuwo,NA,-18.06,13.84,1570503839,61.42,61.42,61.42,34,7,3.29
152,kolokani,ML,13.58,-8.03,1570503840,72.58,72.58,72.58,85,95,2.28
153,rocafuerte,EC,-0.92,-80.45,1570503841,69.8,69.8,69.8,94,75,9.17
